id,visitors
air_0241aa3964b7f861_2017-04-28,5.749
air_0241aa3964b7f861_2017-04-29,12.162
air_0241aa3964b7f861_2017-04-30,9.359
air_0241aa3964b7f861_2017-05-01,7.582
air_0241aa3964b7f861_2017-05-02,6.975
air_0241aa3964b7f861_2017-05-03,8.487
air_0241aa3964b7f861_2017-05-04,4.357
air_0241aa3964b7f861_2017-05-05,5.749
air_0241aa3964b7f861_2017-05-06,12.162
air_0241aa3964b7f861_2017-05-07,9.359
air_0241aa3964b7f861_2017-05-08,7.582
air_0241aa3964b7f861_2017-05-09,6.975
air_0241aa3964b7f861_2017-05-10,8.487
air_0241aa3964b7f861_2017-05-11,4.357
air_0241aa3964b7f861_2017-05-12,5.749
air_0241aa3964b7f861_2017-05-13,12.162
air_0241aa3964b7f861_2017-05-14,9.359
air_0241aa3964b7f861_2017-05-15,7.582
air_0241aa3964b7f861_2017-05-16,6.975
air_0241aa3964b7f861_2017-05-17,8.487
air_0241aa3964b7f861_2017-05-18,4.357
air_0241aa3964b7f861_2017-05-19,5.749
air_0241aa3964b7f861_2017-05-20,12.162
air_0241aa3964b7f861_2017-05-21,9.359
air_0241aa3964b7f861_2017-05-22,7.582
air_0241aa3964b7f861_2017-05-23,6.975
air_0241aa3964b7f861_2017-05-24,8.487
air_0241aa3964b7f861_2017-05-25,4.357
air_0241aa3964b7f861_2017-05-26,5.749
air_0241aa3964b7f861_2017-05-27,12.162
air_0241aa3964b7f861_2017-05-28,9.359
air_0241aa3964b7f861_2017-05-29,7.582
air_0241aa3964b7f861_2017-05-30,6.975
air_0241aa3964b7f861_2017-05-31,8.487
air_0328696196e46f18_2017-04-23,8.621
air_0328696196e46f18_2017-04-24,4.911
air_0328696196e46f18_2017-04-25,6.068
air_0328696196e46f18_2017-04-26,5.640
air_0328696196e46f18_2017-04-27,7.818
air_0328696196e46f18_2017-04-28,5.452
air_0328696196e46f18_2017-04-29,6.698
air_0328696196e46f18_2017-04-30,8.621
air_0328696196e46f18_2017-05-01,4.911
air_0328696196e46f18_2017-05-02,6.068
air_0328696196e46f18_2017-05-03,5.640
air_0328696196e46f18_2017-05-04,7.818
air_0328696196e46f18_2017-05-05,5.452
air_0328696196e46f18_2017-05-06,6.698
air_0328696196e46f18_2017-05-07,8.621
air_0328696196e46f18_2017-05-08,4.911
air_0328696196e46f18_2017-05-09,6.068
air_0328696196e46f18_2017-05-10,5.640
air_0328696196e46f18_2017-05-11,7.818
air_0328696196e46f18_2017-05-12,5.452
air_0328696196e46f18_2017-05-13,6.698
air_0328696196e46f18_2017-05-14,8.621
air_0328696196e46f18_2017-05-15,4.911
air_0328696196e46f18_2017-05-16,6.068
air_0328696196e46f18_2017-05-17,5.640
air_0328696196e46f18_2017-05-18,7.818
air_0328696196e46f18_2017-05-19,5.452
air_0328696196e46f18_2017-05-20,6.698
air_0328696196e46f18_2017-05-21,8.621
air_0328696196e46f18_2017-05-22,4.911
air_0328696196e46f18_2017-05-23,6.068
air_0328696196e46f18_2017-05-24,5.640
air_0328696196e46f18_2017-05-25,7.818
air_0328696196e46f18_2017-05-26,5.452
air_0328696196e46f18_2017-05-27,6.698
air_0328696196e46f18_2017-05-28,8.621
air_0328696196e46f18_2017-05-29,4.911
air_0328696196e46f18_2017-05-30,6.068
air_0328696196e46f18_2017-05-31,5.640
air_034a3d5b40d5b1b1_2017-04-23,14.585
air_034a3d5b40d5b1b1_2017-04-24,9.235
air_034a3d5b40d5b1b1_2017-04-25,9.354
air_034a3d5b40d5b1b1_2017-04-26,11.034
air_034a3d5b40d5b1b1_2017-04-27,9.382
air_034a3d5b40d5b1b1_2017-04-28,14.343
air_034a3d5b40d5b1b1_2017-04-29,16.825
air_034a3d5b40d5b1b1_2017-04-30,14.585
air_034a3d5b40d5b1b1_2017-05-01,9.235
air_034a3d5b40d5b1b1_2017-05-02,9.354
air_034a3d5b40d5b1b1_2017-05-03,11.034
air_034a3d5b40d5b1b1_2017-05-04,9.382
air_034a3d5b40d5b1b1_2017-05-05,14.343
air_034a3d5b40d5b1b1_2017-05-06,16.825
air_034a3d5b40d5b1b1_2017-05-07,14.585
air_034a3d5b40d5b1b1_2017-05-08,9.235
air_034a3d5b40d5b1b1_2017-05-09,9.354
air_034a3d5b40d5b1b1_2017-05-10,11.034
air_034a3d5b40d5b1b1_2017-05-11,9.382
air_034a3d5b40d5b1b1_2017-05-12,14.343
air_034a3d5b40d5b1b1_2017-05-13,16.825
air_034a3d5b40d5b1b1_2017-05-14,14.585
air_034a3d5b40d5b1b1_2017-05-15,9.235
air_034a3d5b40d5b1b1_2017-05-16,9.354
air_034a3d5b40d5b1b1_2017-05-17,11.034
air_034a3d5b40d5b1b1_2017-05-18,9.382
air_034a3d5b40d5b1b1_2017-05-19,14.343
air_034a3d5b40d5b1b1_2017-05-20,16.825
air_034a3d5b40d5b1b1_2017-05-21,14.585
air_034a3d5b40d5b1b1_2017-05-22,9.235
air_034a3d5b40d5b1b1_2017-05-23,9.354
air_034a3d5b40d5b1b1_2017-05-24,11.034
air_034a3d5b40d5b1b1_2017-05-25,9.382
air_034a3d5b40d5b1b1_2017-05-26,14.343
air_034a3d5b40d5b1b1_2017-05-27,16.825
air_034a3d5b40d5b1b1_2017-05-28,14.585
air_034a3d5b40d5b1b1_2017-05-29,9.235
air_034a3d5b40d5b1b1_2017-05-30,9.354
air_034a3d5b40d5b1b1_2017-05-31,11.034
air_036d4f1ee7285390_2017-04-23,18.844
air_036d4f1ee7285390_2017-04-24,17.779
air_036d4f1ee7285390_2017-04-25,19.343
air_036d4f1ee7285390_2017-04-26,22.202
air_036d4f1ee7285390_2017-04-27,15.431
air_036d4f1ee7285390_2017-04-28,19.683
air_036d4f1ee7285390_2017-04-29,24.679
air_036d4f1ee7285390_2017-04-30,18.844
air_036d4f1ee7285390_2017-05-01,17.779
air_036d4f1ee7285390_2017-05-02,19.343
air_036d4f1ee7285390_2017-05-03,22.202
air_036d4f1ee7285390_2017-05-04,15.431
air_036d4f1ee7285390_2017-05-05,19.683
air_036d4f1ee7285390_2017-05-06,24.679
air_036d4f1ee7285390_2017-05-07,18.844
air_036d4f1ee7285390_2017-05-08,17.779
air_036d4f1ee7285390_2017-05-09,19.343
air_036d4f1ee7285390_2017-05-10,22.202
air_036d4f1ee7285390_2017-05-11,15.431
air_036d4f1ee7285390_2017-05-12,19.683
air_036d4f1ee7285390_2017-05-13,24.679
air_036d4f1ee7285390_2017-05-14,18.844
air_036d4f1ee7285390_2017-05-15,17.779
air_036d4f1ee7285390_2017-05-16,19.343
air_036d4f1ee7285390_2017-05-17,22.202
air_036d4f1ee7285390_2017-05-18,15.431
air_036d4f1ee7285390_2017-05-19,19.683
air_036d4f1ee7285390_2017-05-20,24.679
air_036d4f1ee7285390_2017-05-21,18.844
air_036d4f1ee7285390_2017-05-22,17.779
air_036d4f1ee7285390_2017-05-23,19.343
air_036d4f1ee7285390_2017-05-24,22.202
air_036d4f1ee7285390_2017-05-25,15.431
air_036d4f1ee7285390_2017-05-26,19.683
air_036d4f1ee7285390_2017-05-27,24.679
air_036d4f1ee7285390_2017-05-28,18.844
air_036d4f1ee7285390_2017-05-29,17.779
air_036d4f1ee7285390_2017-05-30,19.343
air_036d4f1ee7285390_2017-05-31,22.202
air_0382c794b73b51ad_2017-04-23,26.148
air_0382c794b73b51ad_2017-04-24,18.780
air_0382c794b73b51ad_2017-04-25,19.483
air_0382c794b73b51ad_2017-04-26,17.518
air_0382c794b73b51ad_2017-04-27,20.469
air_0382c794b73b51ad_2017-04-28,19.363
air_0382c794b73b51ad_2017-04-29,25.462
air_0382c794b73b51ad_2017-04-30,26.148
air_0382c794b73b51ad_2017-05-01,18.780
air_0382c794b73b51ad_2017-05-02,19.483
air_0382c794b73b51ad_2017-05-03,17.518
air_0382c794b73b51ad_2017-05-04,20.469
air_0382c794b73b51ad_2017-05-05,19.363
air_0382c794b73b51ad_2017-05-06,25.462
air_0382c794b73b51ad_2017-05-07,26.148
air_0382c794b73b51ad_2017-05-08,18.780
air_0382c794b73b51ad_2017-05-09,19.483
air_0382c794b73b51ad_2017-05-10,17.518
air_0382c794b73b51ad_2017-05-11,20.469
air_0382c794b73b51ad_2017-05-12,19.363
air_0382c794b73b51ad_2017-05-13,25.462
air_0382c794b73b51ad_2017-05-14,26.148
air_0382c794b73b51ad_2017-05-15,18.780
air_0382c794b73b51ad_2017-05-16,19.483
air_0382c794b73b51ad_2017-05-17,17.518
air_0382c794b73b51ad_2017-05-18,20.469
air_0382c794b73b51ad_2017-05-19,19.363
air_0382c794b73b51ad_2017-05-20,25.462
air_0382c794b73b51ad_2017-05-21,26.148
air_0382c794b73b51ad_2017-05-22,18.780
air_0382c794b73b51ad_2017-05-23,19.483
air_0382c794b73b51ad_2017-05-24,17.518
air_0382c794b73b51ad_2017-05-25,20.469
air_0382c794b73b51ad_2017-05-26,19.363
air_0382c794b73b51ad_2017-05-27,25.462
air_0382c794b73b51ad_2017-05-28,26.148
air_0382c794b73b51ad_2017-05-29,18.780
air_0382c794b73b51ad_2017-05-30,19.483
air_0382c794b73b51ad_2017-05-31,17.518
air_03963426c9312048_2017-04-23,17.057
air_03963426c9312048_2017-04-24,23.243
air_03963426c9312048_2017-04-25,22.798
air_03963426c9312048_2017-04-26,31.615
air_03963426c9312048_2017-04-27,29.103
air_03963426c9312048_2017-04-28,61.581
air_03963426c9312048_2017-04-29,54.741
air_03963426c9312048_2017-04-30,17.057
air_03963426c9312048_2017-05-01,25.212
air_03963426c9312048_2017-05-02,22.798
air_03963426c9312048_2017-05-03,31.615
air_03963426c9312048_2017-05-04,29.103
air_03963426c9312048_2017-05-05,61.581
air_03963426c9312048_2017-05-06,54.741
air_03963426c9312048_2017-05-07,17.057
air_03963426c9312048_2017-05-08,23.243
air_03963426c9312048_2017-05-09,22.798
air_03963426c9312048_2017-05-10,31.615
air_03963426c9312048_2017-05-11,29.103
air_03963426c9312048_2017-05-12,61.581
air_03963426c9312048_2017-05-13,54.741
air_03963426c9312048_2017-05-14,17.057
air_03963426c9312048_2017-05-15,23.243
air_03963426c9312048_2017-05-16,22.798
air_03963426c9312048_2017-05-17,31.615
air_03963426c9312048_2017-05-18,29.103
air_03963426c9312048_2017-05-19,61.581
air_03963426c9312048_2017-05-20,54.741
air_03963426c9312048_2017-05-21,17.057
air_03963426c9312048_2017-05-22,23.243
air_03963426c9312048_2017-05-23,22.798
air_03963426c9312048_2017-05-24,31.615
air_03963426c9312048_2017-05-25,29.103
air_03963426c9312048_2017-05-26,61.581
air_03963426c9312048_2017-05-27,54.741
air_03963426c9312048_2017-05-28,17.057
air_03963426c9312048_2017-05-29,23.243
air_03963426c9312048_2017-05-30,22.798
air_03963426c9312048_2017-05-31,31.615
air_04341b588bde96cd_2017-04-23,37.382
air_04341b588bde96cd_2017-04-24,32.596
air_04341b588bde96cd_2017-04-25,23.107
air_04341b588bde96cd_2017-04-26,27.139
air_04341b588bde96cd_2017-04-27,27.868
air_04341b588bde96cd_2017-04-28,38.837
air_04341b588bde96cd_2017-04-29,43.661
air_04341b588bde96cd_2017-04-30,37.382
air_04341b588bde96cd_2017-05-01,32.596
air_04341b588bde96cd_2017-05-02,23.107
air_04341b588bde96cd_2017-05-03,27.139
air_04341b588bde96cd_2017-05-04,27.868
air_04341b588bde96cd_2017-05-05,38.837
air_04341b588bde96cd_2017-05-06,43.661
air_04341b588bde96cd_2017-05-07,37.382
air_04341b588bde96cd_2017-05-08,32.596
air_04341b588bde96cd_2017-05-09,23.107
air_04341b588bde96cd_2017-05-10,27.139
air_04341b588bde96cd_2017-05-11,27.868
air_04341b588bde96cd_2017-05-12,38.837
air_04341b588bde96cd_2017-05-13,43.661
air_04341b588bde96cd_2017-05-14,37.382
air_04341b588bde96cd_2017-05-15,32.596
air_04341b588bde96cd_2017-05-16,23.107
air_04341b588bde96cd_2017-05-17,27.139
air_04341b588bde96cd_2017-05-18,27.868
air_04341b588bde96cd_2017-05-19,38.837
air_04341b588bde96cd_2017-05-20,43.661
air_04341b588bde96cd_2017-05-21,37.382
air_04341b588bde96cd_2017-05-22,32.596
air_04341b588bde96cd_2017-05-23,23.107
air_04341b588bde96cd_2017-05-24,27.139
air_04341b588bde96cd_2017-05-25,27.868
air_04341b588bde96cd_2017-05-26,38.837
air_04341b588bde96cd_2017-05-27,43.661
air_04341b588bde96cd_2017-05-28,37.382
air_04341b588bde96cd_2017-05-29,32.596
air_04341b588bde96cd_2017-05-30,23.107
air_04341b588bde96cd_2017-05-31,27.139
air_049f6d5b402a31b2_2017-04-23,2.868
air_049f6d5b402a31b2_2017-04-24,7.664
air_049f6d5b402a31b2_2017-04-25,8.251
air_049f6d5b402a31b2_2017-04-26,8.246
air_049f6d5b402a31b2_2017-04-27,8.213
air_049f6d5b402a31b2_2017-04-28,13.214
air_049f6d5b402a31b2_2017-04-29,16.484
air_049f6d5b402a31b2_2017-04-30,2.868
air_049f6d5b402a31b2_2017-05-01,7.664
air_049f6d5b402a31b2_2017-05-02,8.251
air_049f6d5b402a31b2_2017-05-03,8.246
air_049f6d5b402a31b2_2017-05-04,8.213
air_049f6d5b402a31b2_2017-05-05,13.214
air_049f6d5b402a31b2_2017-05-06,16.484
air_049f6d5b402a31b2_2017-05-07,2.868
air_049f6d5b402a31b2_2017-05-08,7.664
air_049f6d5b402a31b2_2017-05-09,8.251
air_049f6d5b402a31b2_2017-05-10,8.246
air_049f6d5b402a31b2_2017-05-11,8.213
air_049f6d5b402a31b2_2017-05-12,13.214
air_049f6d5b402a31b2_2017-05-13,16.484
air_049f6d5b402a31b2_2017-05-14,2.868
air_049f6d5b402a31b2_2017-05-15,7.664
air_049f6d5b402a31b2_2017-05-16,8.251
air_049f6d5b402a31b2_2017-05-17,8.246
air_049f6d5b402a31b2_2017-05-18,8.213
air_049f6d5b402a31b2_2017-05-19,13.214
air_049f6d5b402a31b2_2017-05-20,16.484
air_049f6d5b402a31b2_2017-05-21,2.868
air_049f6d5b402a31b2_2017-05-22,7.664
air_049f6d5b402a31b2_2017-05-23,8.251
air_049f6d5b402a31b2_2017-05-24,8.246
air_049f6d5b402a31b2_2017-05-25,8.213
air_049f6d5b402a31b2_2017-05-26,13.214
air_049f6d5b402a31b2_2017-05-27,16.484
air_049f6d5b402a31b2_2017-05-28,2.868
air_049f6d5b402a31b2_2017-05-29,7.664
air_049f6d5b402a31b2_2017-05-30,8.251
air_049f6d5b402a31b2_2017-05-31,8.246
air_04cae7c1bc9b2a0b_2017-04-23,20.615
air_04cae7c1bc9b2a0b_2017-04-24,12.946
air_04cae7c1bc9b2a0b_2017-04-25,14.855
air_04cae7c1bc9b2a0b_2017-04-26,18.334
air_04cae7c1bc9b2a0b_2017-04-27,15.711
air_04cae7c1bc9b2a0b_2017-04-28,25.669
air_04cae7c1bc9b2a0b_2017-04-29,32.852
air_04cae7c1bc9b2a0b_2017-04-30,20.615
air_04cae7c1bc9b2a0b_2017-05-01,12.946
air_04cae7c1bc9b2a0b_2017-05-02,14.855
air_04cae7c1bc9b2a0b_2017-05-03,18.334
air_04cae7c1bc9b2a0b_2017-05-04,15.711
air_04cae7c1bc9b2a0b_2017-05-05,25.669
air_04cae7c1bc9b2a0b_2017-05-06,32.852
air_04cae7c1bc9b2a0b_2017-05-07,20.615
air_04cae7c1bc9b2a0b_2017-05-08,12.946
air_04cae7c1bc9b2a0b_2017-05-09,14.855
air_04cae7c1bc9b2a0b_2017-05-10,18.334
air_04cae7c1bc9b2a0b_2017-05-11,15.711
air_04cae7c1bc9b2a0b_2017-05-12,25.669
air_04cae7c1bc9b2a0b_2017-05-13,32.852
air_04cae7c1bc9b2a0b_2017-05-14,20.615
air_04cae7c1bc9b2a0b_2017-05-15,12.946
air_04cae7c1bc9b2a0b_2017-05-16,14.855
air_04cae7c1bc9b2a0b_2017-05-17,18.334
air_04cae7c1bc9b2a0b_2017-05-18,15.711
air_04cae7c1bc9b2a0b_2017-05-19,25.669
air_04cae7c1bc9b2a0b_2017-05-20,32.852
air_04cae7c1bc9b2a0b_2017-05-21,20.615
air_04cae7c1bc9b2a0b_2017-05-22,12.946
air_04cae7c1bc9b2a0b_2017-05-23,14.855
air_04cae7c1bc9b2a0b_2017-05-24,18.334
air_04cae7c1bc9b2a0b_2017-05-25,15.711
air_04cae7c1bc9b2a0b_2017-05-26,25.669
air_04cae7c1bc9b2a0b_2017-05-27,32.852
air_04cae7c1bc9b2a0b_2017-05-28,20.615
air_04cae7c1bc9b2a0b_2017-05-29,12.946
air_04cae7c1bc9b2a0b_2017-05-30,14.855
air_04cae7c1bc9b2a0b_2017-05-31,18.334
air_0585011fa179bcce_2017-04-23,3.602
air_0585011fa179bcce_2017-04-24,2.315
air_0585011fa179bcce_2017-04-25,2.505
air_0585011fa179bcce_2017-04-26,3.925
air_0585011fa179bcce_2017-04-27,3.813
air_0585011fa179bcce_2017-04-28,3.695
air_0585011fa179bcce_2017-04-29,5.303
air_0585011fa179bcce_2017-04-30,3.602
air_0585011fa179bcce_2017-05-01,2.315
air_0585011fa179bcce_2017-05-02,2.505
air_0585011fa179bcce_2017-05-03,3.925
air_0585011fa179bcce_2017-05-04,3.813
air_0585011fa179bcce_2017-05-05,3.695
air_0585011fa179bcce_2017-05-06,5.303
air_0585011fa179bcce_2017-05-07,3.602
air_0585011fa179bcce_2017-05-08,2.315
air_0585011fa179bcce_2017-05-09,2.505
air_0585011fa179bcce_2017-05-10,3.925
air_0585011fa179bcce_2017-05-11,3.813
air_0585011fa179bcce_2017-05-12,3.695
air_0585011fa179bcce_2017-05-13,5.303
air_0585011fa179bcce_2017-05-14,3.602
air_0585011fa179bcce_2017-05-15,2.315
air_0585011fa179bcce_2017-05-16,2.505
air_0585011fa179bcce_2017-05-17,3.925
air_0585011fa179bcce_2017-05-18,3.813
air_0585011fa179bcce_2017-05-19,3.695
air_0585011fa179bcce_2017-05-20,5.303
air_0585011fa179bcce_2017-05-21,3.602
air_0585011fa179bcce_2017-05-22,2.315
air_0585011fa179bcce_2017-05-23,2.505
air_0585011fa179bcce_2017-05-24,3.925
air_0585011fa179bcce_2017-05-25,3.813
air_0585011fa179bcce_2017-05-26,3.695
air_0585011fa179bcce_2017-05-27,5.303
air_0585011fa179bcce_2017-05-28,3.602
air_0585011fa179bcce_2017-05-29,2.315
air_0585011fa179bcce_2017-05-30,2.505
air_0585011fa179bcce_2017-05-31,3.925
air_05c325d315cc17f5_2017-04-23,24.946
air_05c325d315cc17f5_2017-04-24,17.921
air_05c325d315cc17f5_2017-04-25,16.798
air_05c325d315cc17f5_2017-04-26,19.377
air_05c325d315cc17f5_2017-04-27,17.862
air_05c325d315cc17f5_2017-04-28,19.642
air_05c325d315cc17f5_2017-04-29,25.933
air_05c325d315cc17f5_2017-04-30,24.946
air_05c325d315cc17f5_2017-05-01,17.921
air_05c325d315cc17f5_2017-05-02,16.798
air_05c325d315cc17f5_2017-05-03,19.377
air_05c325d315cc17f5_2017-05-04,17.862
air_05c325d315cc17f5_2017-05-05,19.642
air_05c325d315cc17f5_2017-05-06,25.933
air_05c325d315cc17f5_2017-05-07,24.946
air_05c325d315cc17f5_2017-05-08,17.921
air_05c325d315cc17f5_2017-05-09,16.798
air_05c325d315cc17f5_2017-05-10,19.377
air_05c325d315cc17f5_2017-05-11,17.862
air_05c325d315cc17f5_2017-05-12,19.642
air_05c325d315cc17f5_2017-05-13,25.933
air_05c325d315cc17f5_2017-05-14,24.946
air_05c325d315cc17f5_2017-05-15,17.921
air_05c325d315cc17f5_2017-05-16,16.798
air_05c325d315cc17f5_2017-05-17,19.377
air_05c325d315cc17f5_2017-05-18,17.862
air_05c325d315cc17f5_2017-05-19,19.642
air_05c325d315cc17f5_2017-05-20,25.933
air_05c325d315cc17f5_2017-05-21,24.946
air_05c325d315cc17f5_2017-05-22,17.921
air_05c325d315cc17f5_2017-05-23,16.798
air_05c325d315cc17f5_2017-05-24,19.377
air_05c325d315cc17f5_2017-05-25,17.862
air_05c325d315cc17f5_2017-05-26,19.642
air_05c325d315cc17f5_2017-05-27,25.933
air_05c325d315cc17f5_2017-05-28,24.946
air_05c325d315cc17f5_2017-05-29,17.921
air_05c325d315cc17f5_2017-05-30,16.798
air_05c325d315cc17f5_2017-05-31,19.377
air_0647f17b4dc041c8_2017-04-23,50.786
air_0647f17b4dc041c8_2017-04-24,29.834
air_0647f17b4dc041c8_2017-04-25,2.845
air_0647f17b4dc041c8_2017-04-26,31.173
air_0647f17b4dc041c8_2017-04-27,32.188
air_0647f17b4dc041c8_2017-04-28,30.790
air_0647f17b4dc041c8_2017-04-29,50.938
air_0647f17b4dc041c8_2017-04-30,50.786
air_0647f17b4dc041c8_2017-05-01,29.834
air_0647f17b4dc041c8_2017-05-02,2.845
air_0647f17b4dc041c8_2017-05-03,31.173
air_0647f17b4dc041c8_2017-05-04,32.188
air_0647f17b4dc041c8_2017-05-05,30.790
air_0647f17b4dc041c8_2017-05-06,50.938
air_0647f17b4dc041c8_2017-05-07,50.786
air_0647f17b4dc041c8_2017-05-08,29.834
air_0647f17b4dc041c8_2017-05-09,2.845
air_0647f17b4dc041c8_2017-05-10,31.173
air_0647f17b4dc041c8_2017-05-11,32.188
air_0647f17b4dc041c8_2017-05-12,30.790
air_0647f17b4dc041c8_2017-05-13,50.938
air_0647f17b4dc041c8_2017-05-14,50.786
air_0647f17b4dc041c8_2017-05-15,29.834
air_0647f17b4dc041c8_2017-05-16,2.845
air_0647f17b4dc041c8_2017-05-17,31.173
air_0647f17b4dc041c8_2017-05-18,32.188
air_0647f17b4dc041c8_2017-05-19,30.790
air_0647f17b4dc041c8_2017-05-20,50.938
air_0647f17b4dc041c8_2017-05-21,50.786
air_0647f17b4dc041c8_2017-05-22,29.834
air_0647f17b4dc041c8_2017-05-23,2.845
air_0647f17b4dc041c8_2017-05-24,31.173
air_0647f17b4dc041c8_2017-05-25,32.188
air_0647f17b4dc041c8_2017-05-26,30.790
air_0647f17b4dc041c8_2017-05-27,50.938
air_0647f17b4dc041c8_2017-05-28,50.786
air_0647f17b4dc041c8_2017-05-29,29.834
air_0647f17b4dc041c8_2017-05-30,2.845
air_0647f17b4dc041c8_2017-05-31,31.173
air_064e203265ee5753_2017-04-23,22.270
air_064e203265ee5753_2017-04-24,15.591
air_064e203265ee5753_2017-04-25,16.180
air_064e203265ee5753_2017-04-26,14.132
air_064e203265ee5753_2017-04-27,17.413
air_064e203265ee5753_2017-04-28,18.963
air_064e203265ee5753_2017-04-29,23.085
air_064e203265ee5753_2017-04-30,22.270
air_064e203265ee5753_2017-05-01,15.591
air_064e203265ee5753_2017-05-02,16.180
air_064e203265ee5753_2017-05-03,14.132
air_064e203265ee5753_2017-05-04,17.413
air_064e203265ee5753_2017-05-05,18.963
air_064e203265ee5753_2017-05-06,23.085
air_064e203265ee5753_2017-05-07,22.270
air_064e203265ee5753_2017-05-08,15.591
air_064e203265ee5753_2017-05-09,16.180
air_064e203265ee5753_2017-05-10,14.132
air_064e203265ee5753_2017-05-11,17.413
air_064e203265ee5753_2017-05-12,18.963
air_064e203265ee5753_2017-05-13,23.085
air_064e203265ee5753_2017-05-14,22.270
air_064e203265ee5753_2017-05-15,15.591
air_064e203265ee5753_2017-05-16,16.180
air_064e203265ee5753_2017-05-17,14.132
air_064e203265ee5753_2017-05-18,17.413
air_064e203265ee5753_2017-05-19,18.963
air_064e203265ee5753_2017-05-20,23.085
air_064e203265ee5753_2017-05-21,22.270
air_064e203265ee5753_2017-05-22,15.591
air_064e203265ee5753_2017-05-23,16.180
air_064e203265ee5753_2017-05-24,14.132
air_064e203265ee5753_2017-05-25,17.413
